lat,lon,river_distance
22.4018623,71.3957058,168924.91775619477
22.4018623,71.6457058,141223.65237192885
22.4018623,71.8957058,113585.27971707794
22.4018623,72.1457058,86070.40825019633
21.5467098,71.1689617,180038.6357061967
21.5467098,71.4189617,153377.926460153
21.5467098,71.6689617,127218.98416625086
21.5467098,71.9189617,101948.78698728264
21.7967098,71.1689617,190169.37519431883
21.7967098,71.4189617,165152.26077794118
21.7967098,71.6689617,141191.89370194657
21.7967098,71.9189617,118412.5299978345
22.0467098,71.1689617,195511.2775821378
22.0467098,71.4189617,168012.62475565812
22.0467098,71.6689617,140644.33199237226
22.0467098,71.9189617,113500.73918122493
22.2967098,71.1689617,193525.85194216555
22.2967098,71.4189617,165698.03192985372
22.2967098,71.6689617,137871.04057677183
22.2967098,71.9189617,110045.50650901512
21.7176085,69.1578939,295916.61084206804
21.7176085,69.4078939,308809.9655661979
21.7176085,69.6578939,323588.5546841017
21.7176085,69.9078939,321303.38559199625
21.9676085,69.1578939,269099.7928649341
21.9676085,69.4078939,283216.6181224026
21.9676085,69.6578939,299261.7761596699
21.9676085,69.9078939,316942.5376761528
22.2176085,69.1578939,242978.8086604853
22.2176085,69.4078939,258525.928523251
22.2176085,69.6578939,276010.1693930111
22.2176085,69.9078939,295087.4025212154
22.4676085,69.1578939,217825.38307842094
22.4676085,69.4078939,235042.23402189065
22.4676085,69.6578939,254147.2204521442
22.4676085,69.9078939,274746.740075128
21.7143736,69.8834253,323884.55479226384
21.7143736,70.1334253,296726.9462266365
21.7143736,70.3834253,269706.43305230356
21.7143736,70.6334253,242868.77747338745
21.9643736,69.8834253,315440.3084454976
21.9643736,70.1334253,304970.0750886155
21.9643736,70.3834253,278749.7553583989
21.9643736,70.6334253,252873.70198181606
22.2143736,69.8834253,293434.068366087
22.2143736,70.1334253,308885.7156222434
22.2143736,70.3834253,281065.417946597
22.2143736,70.6334253,253247.224356625
22.4643736,69.8834253,272927.8090504736
22.4643736,70.1334253,294587.7565335875
22.4643736,70.3834253,281847.4585840715
22.4643736,70.6334253,254114.8901366061
21.7424747,68.4671448,269239.53734519327
21.7424747,68.7171448,275693.6547703035
21.7424747,68.9671448,284733.3098184508
21.7424747,69.2171448,296121.8124160087
21.9924747,68.4671448,239821.22887275644
21.9924747,68.7171448,247045.10646599057
21.9924747,68.9671448,257094.05101704554
21.9924747,69.2171448,269652.40799356333
22.2424747,68.4671448,210512.1640527065
22.2424747,68.7171448,218706.27340089538
22.2424747,68.9671448,229996.74011704992
22.2424747,69.2171448,243954.03364741016
22.4924747,68.4671448,181390.86081781803
22.4924747,68.7171448,190839.48018945826
22.4924747,68.9671448,203680.56765078308
22.4924747,69.2171448,219319.04547238292
21.7412214,72.5855259,60822.70568755004
21.7412214,72.8355259,33008.536758416194
21.7412214,73.0855259,5359.953313069854
21.7412214,73.3355259,15496.853742130786
21.9912214,72.5855259,49762.05885751421
21.9912214,72.8355259,35452.7468920165
21.9912214,73.0855259,17866.184235374847
21.9912214,73.3355259,8637.634370417727
22.2412214,72.5855259,36103.94683191492
22.2412214,72.8355259,9172.226408697961
22.2412214,73.0855259,8781.857540711462
22.2412214,73.3355259,32876.586231564295
22.4912214,72.5855259,43842.22749020616
22.4912214,72.8355259,25205.34274245402
22.4912214,73.0855259,462.1449753658903
22.4912214,73.3355259,20794.728737880254
21.8166806,72.1243126,101849.18442551629
21.8166806,72.3743126,81233.02371664802
21.8166806,72.6243126,56987.484644781514
21.8166806,72.8743126,29327.453213999932
22.0666806,72.1243126,90811.85510807415
22.0666806,72.3743126,64573.55098800327
22.0666806,72.6243126,40517.86735552352
22.0666806,72.8743126,25742.0918281449
22.3166806,72.1243126,87284.58662373007
22.3166806,72.3743126,59510.91934347715
22.3166806,72.6243126,31835.571440534615
22.3166806,72.8743126,5458.3096159776915
22.5666806,72.1243126,93813.13192466009
22.5666806,72.3743126,68725.71045666903
22.5666806,72.6243126,46156.833444051466
22.5666806,72.8743126,25666.787949827907
21.8598858,71.2169084,188606.9598071396
21.8598858,71.4669084,164257.54690460107
21.8598858,71.7169084,141200.21873691154
21.8598858,71.9669084,116143.8697151299
22.1098858,71.2169084,189266.72132195663
22.1098858,71.4669084,161624.7278871856
22.1098858,71.7169084,134060.4981270008
22.1098858,71.9669084,106634.35319033812
22.3598858,71.2169084,188430.08143591686
22.3598858,71.4669084,160644.1920972864
22.3598858,71.7169084,132876.71334000796
22.3598858,71.9669084,105142.23257238188
22.6098858,71.2169084,192359.2549832635
22.6098858,71.4669084,165235.4194546671
22.6098858,71.7169084,138392.22642841097
22.6098858,71.9669084,112031.58687653567
21.9516351,72.5671647,54568.47138381103
21.9516351,72.8171647,37788.207342726506
21.9516351,73.0671647,14919.954650041269
21.9516351,73.3171647,5452.767259911792
22.2016351,72.5671647,38982.21916190617
22.2016351,72.8171647,13655.837928171353
22.2016351,73.0671647,10777.415998583449
22.2016351,73.3171647,29421.054786060347
22.4516351,72.5671647,43215.159774189415
22.4516351,72.8171647,21818.811325264334
22.4516351,73.0671647,894.7880074816384
22.4516351,73.3171647,22939.073407135435
22.7016351,72.5671647,62546.09899447391
22.7016351,72.8171647,39454.03033035565
22.7016351,73.0671647,17128.384685033092
22.7016351,73.3171647,7410.281857129203
22.0494312,70.9820838,216080.31309021963
22.0494312,71.2320838,188510.97034304455
22.0494312,71.4820838,161031.28206343728
22.0494312,71.7320838,133696.54182184773
22.2994312,70.9820838,214331.3910513413
22.2994312,71.2320838,186503.6981523741
22.2994312,71.4820838,158676.7698430679
22.2994312,71.7320838,130851.09391960283
22.5494312,70.9820838,216783.33946583729
22.5494312,71.2320838,189316.40315743728
22.5494312,71.4820838,161973.4187074762
22.5494312,71.7320838,134829.81814092232
22.7994312,70.9820838,223319.80352060663
22.7994312,71.2320838,196767.4233174568
22.7994312,71.4820838,170622.70289240323
22.7994312,71.7320838,145106.16194509482
22.0660006,71.2899425,181851.3712038533
22.0660006,71.5399425,154347.3434078878
22.0660006,71.7899425,126985.38204940049
22.0660006,72.0399425,99882.30934555648
22.3160006,71.2899425,180102.23738835598
22.3160006,71.5399425,152282.62251695865
22.3160006,71.7899425,124467.59400664207
22.3160006,72.0399425,96661.11122768823
22.5660006,71.2899425,183341.71039368055
22.5660006,71.5399425,156100.4932036764
22.5660006,71.7899425,129110.60690582622
22.5660006,72.0399425,102570.645320969
22.8160006,71.2899425,191342.24556322384
22.8160006,71.5399425,165423.8076744936
22.8160006,71.7899425,140239.8694476275
22.8160006,72.0399425,116114.75222980183
22.7452165,71.9966223,115926.12484801462
22.7452165,72.2466223,92279.43726081192
22.7452165,72.4966223,71615.71969733844
22.7452165,72.7466223,48900.87342028116
22.9952165,71.9966223,132782.87191267242
22.9952165,72.2466223,111875.69525278709
22.9952165,72.4966223,87916.3613131306
22.9952165,72.7466223,62083.76783534377
23.2452165,71.9966223,150742.8937350964
23.2452165,72.2466223,125378.15466520088
23.2452165,72.4966223,101314.03662769611
23.2452165,72.7466223,79739.51339928317
23.4952165,71.9966223,164526.76616458918
23.4952165,72.2466223,141650.64597916618
23.4952165,72.4966223,118300.73746721697
23.4952165,72.7466223,94867.15600320882
22.1153934,70.4495617,274299.89620369754
22.1153934,70.6995617,246549.39186820725
22.1153934,70.9495617,218819.04814850332
22.1153934,71.1995617,191117.64090072885
22.3653934,70.4495617,273796.0100250573
22.3653934,70.6995617,245988.66778545882
22.3653934,70.9495617,218187.0708380747
22.3653934,71.1995617,190393.7360097279
22.6153934,70.4495617,276587.19416845276
22.6153934,70.6995617,249091.64086978303
22.6153934,70.9495617,221679.54067354786
22.6153934,71.1995617,194386.2021442831
22.8653934,70.4495617,282593.2925797151
22.8653934,70.6995617,255744.28358082226
22.8653934,70.9495617,229129.46512027262
22.8653934,71.1995617,202841.04273333136
22.1562177,70.2486911,296323.5202644037
22.1562177,70.4986911,268531.5644050597
22.1562177,70.7486911,240748.36890533264
22.1562177,70.9986911,212977.3621964014
22.4062177,70.2486911,296355.77327613207
22.4062177,70.4986911,268567.15505443775
22.4062177,70.7486911,240788.06619677777
22.4062177,70.9986911,213022.2347557711
22.6562177,70.2486911,292019.4371533324
22.6562177,70.4986911,271958.5072896849
22.6562177,70.7486911,244564.93153349482
22.6562177,70.9986911,217282.27128217806
22.9062177,70.2486911,277199.3920802798
22.9062177,70.4986911,278600.8730233871
22.9062177,70.7486911,251930.59063587905
