lat,lon,elevation
21.720494,71.7105587,0
21.720494,71.9605587,0
21.720494,72.2105587,13
21.970494,71.4605587,0
21.970494,71.7105587,0
21.970494,71.9605587,0
21.970494,72.2105587,4
21.209301,72.0893963,20
21.209301,72.3393963,-12
21.209301,72.5893963,-2
21.209301,72.8393963,18
21.459301,72.0893963,69
21.459301,72.3393963,-12
21.459301,72.5893963,-4
21.459301,72.8393963,11
21.709301,72.0893963,45
21.709301,72.3393963,-5
21.709301,72.5893963,7
21.709301,72.8393963,9
21.959301,72.0893963,8
21.959301,72.3393963,-7
21.959301,72.5893963,4
21.959301,72.8393963,7
21.2080427,72.4956936,-8
21.2080427,72.7456936,6
21.2080427,72.9956936,24
21.2080427,73.2456936,42
21.4580427,72.4956936,-8
21.4580427,72.7456936,6
21.4580427,72.9956936,21
21.4580427,73.2456936,74
21.7080427,72.4956936,-1
21.7080427,72.7456936,6
21.7080427,72.9956936,23
21.7080427,73.2456936,60
21.9580427,72.4956936,-3
21.9580427,72.7456936,6
21.9580427,72.9956936,16
21.9580427,73.2456936,33
21.2346125,70.7004615,0
21.2346125,70.9504615,0
21.2346125,71.2004615,0
21.2346125,71.4504615,0
21.4846125,70.7004615,0
21.4846125,70.9504615,0
21.4846125,71.2004615,0
21.4846125,71.4504615,0
21.7346125,70.7004615,0
21.7346125,70.9504615,0
21.7346125,71.2004615,0
21.7346125,71.4504615,0
21.9846125,70.7004615,0
21.9846125,70.9504615,0
21.9846125,71.2004615,0
21.9846125,71.4504615,0
21.2220402,69.9443401,0
21.2220402,70.1943401,0
21.2220402,70.4443401,0
21.2220402,70.6943401,0
21.4720402,69.9443401,0
21.4720402,70.1943401,0
21.4720402,70.4443401,0
21.4720402,70.6943401,0
21.7220402,69.9443401,0
21.7220402,70.1943401,0
21.7220402,70.4443401,0
21.7220402,70.6943401,0
21.9720402,69.9443401,0
21.9720402,70.1943401,0
21.9720402,70.4443401,0
21.9720402,70.6943401,0
21.2718836,71.6416449,0
21.2718836,71.8916449,0
21.2718836,72.1416449,-5
21.2718836,72.3916449,-12
21.5218836,71.6416449,0
21.5218836,71.8916449,0
21.5218836,72.1416449,88
21.5218836,72.3916449,-8
21.7718836,71.6416449,0
21.7718836,71.8916449,0
21.7718836,72.1416449,25
21.7718836,72.3916449,-6
22.0218836,71.6416449,0
22.0218836,71.8916449,0
22.0218836,72.1416449,11
22.0218836,72.3916449,-4
21.3926077,69.9972555,0
21.3926077,70.2472555,0
21.3926077,70.4972555,0
21.3926077,70.7472555,0
21.6426077,69.9972555,0
21.6426077,70.2472555,0
21.6426077,70.4972555,0
21.6426077,70.7472555,0
21.8926077,69.9972555,0
21.8926077,70.2472555,0
21.8926077,70.4972555,0
21.8926077,70.7472555,0
22.1426077,69.9972555,0
22.1426077,70.2472555,0
22.1426077,70.4972555,0
22.1426077,70.7472555,0
21.4907832,72.3706259,-10
21.4907832,72.6206259,-1
21.4907832,72.8706259,14
21.4907832,73.1206259,33
21.7407832,72.3706259,-5
21.7407832,72.6206259,7
21.7407832,72.8706259,10
21.7407832,73.1206259,0
21.9907832,72.3706259,-11
21.9907832,72.6206259,6
21.9907832,72.8706259,12
21.9907832,73.1206259,26
22.2407832,72.3706259,2
22.2407832,72.6206259,-4
22.2407832,72.8706259,4
22.2407832,73.1206259,29
21.5523055,72.6216703,5
21.5523055,72.8716703,16
21.5523055,73.1216703,47
21.5523055,73.3716703,119
21.8023055,72.6216703,6
21.8023055,72.8716703,9
21.8023055,73.1216703,23
21.8023055,73.3716703,79
22.0523055,72.6216703,8
22.0523055,72.8716703,13
22.0523055,73.1216703,35
22.0523055,73.3716703,40
22.3023055,72.6216703,6
22.3023055,72.8716703,23
22.3023055,73.1216703,30
22.3023055,73.3716703,46
21.6518623,71.3957058,0
21.6518623,71.6457058,0
21.6518623,71.8957058,0
21.6518623,72.1457058,63
21.9018623,71.3957058,0
21.9018623,71.6457058,0
21.9018623,71.8957058,0
21.9018623,72.1457058,8
22.1518623,71.3957058,0
22.1518623,71.6457058,0
22.1518623,71.8957058,0
22.1518623,72.1457058,10
22.4018623,71.3957058,0
22.4018623,71.6457058,0
22.4018623,71.8957058,0
22.4018623,72.1457058,10
21.5467098,71.1689617,0
21.5467098,71.4189617,0
21.5467098,71.6689617,0
21.5467098,71.9189617,0
21.7967098,71.1689617,0
21.7967098,71.4189617,0
